Date,Adj Close_SMGR.JK,Close_SMGR.JK,High_SMGR.JK,Low_SMGR.JK,Open_SMGR.JK,Volume_SMGR.JK
2025-10-13,2540.0,2540.0,2580.0,2530.0,2560.0,4141600
2025-10-14,2470.0,2470.0,2550.0,2470.0,2540.0,11687300
2025-10-15,2560.0,2560.0,2560.0,2420.0,2460.0,13771900
2025-10-16,2420.0,2420.0,2570.0,2420.0,2560.0,12898500
2025-10-17,2390.0,2390.0,2430.0,2380.0,2400.0,5295800
2025-10-20,2510.0,2510.0,2540.0,2390.0,2390.0,7243900
2025-10-21,2570.0,2570.0,2610.0,2500.0,2550.0,6144800
2025-10-22,2570.0,2570.0,2630.0,2540.0,2570.0,10661000
2025-10-23,2660.0,2660.0,2700.0,2560.0,2560.0,10952700
2025-10-24,2660.0,2660.0,2700.0,2660.0,2660.0,6553700
2025-10-27,2740.0,2740.0,2780.0,2640.0,2690.0,9539300
2025-10-28,2710.0,2710.0,2760.0,2700.0,2750.0,6059400
2025-10-29,2710.0,2710.0,2770.0,2690.0,2710.0,6267900
2025-10-30,2720.0,2720.0,2750.0,2710.0,2710.0,6859600
2025-10-31,2760.0,2760.0,2770.0,2690.0,2740.0,4936400
2025-11-03,2800.0,2800.0,2830.0,2760.0,2760.0,6548400
2025-11-04,2770.0,2770.0,2820.0,2740.0,2800.0,8576000
2025-11-05,2800.0,2800.0,2820.0,2750.0,2780.0,3999100
2025-11-06,2890.0,2890.0,2920.0,2810.0,2820.0,13178600
2025-11-07,2880.0,2880.0,2900.0,2840.0,2900.0,7351100
2025-11-10,2760.0,2760.0,2910.0,2740.0,2910.0,17773200
2025-11-11,2690.0,2690.0,2800.0,2670.0,2790.0,8884000
2025-11-12,2690.0,2690.0,2710.0,2660.0,2690.0,7622100
2025-11-13,2660.0,2660.0,2700.0,2640.0,2690.0,9365500
2025-11-14,2600.0,2600.0,2670.0,2590.0,2660.0,11247900
2025-11-17,2600.0,2600.0,2620.0,2570.0,2600.0,5953600
2025-11-18,2540.0,2540.0,2610.0,2540.0,2570.0,6843100
2025-11-19,2710.0,2710.0,2730.0,2550.0,2550.0,14142800
2025-11-20,2650.0,2650.0,2750.0,2650.0,2710.0,5823300
2025-11-21,2700.0,2700.0,2710.0,2610.0,2650.0,4823400
2025-11-24,2620.0,2620.0,2710.0,2590.0,2700.0,9573400
2025-11-25,2550.0,2550.0,2640.0,2540.0,2630.0,29689000
2025-11-26,2960.0,2960.0,2970.0,2480.0,2560.0,167419400
2025-11-27,2870.0,2870.0,2970.0,2780.0,2960.0,63134300
2025-11-28,2910.0,2910.0,2960.0,2810.0,2850.0,26293600
2025-12-01,2870.0,2870.0,3020.0,2860.0,2950.0,26746200
2025-12-02,2810.0,2810.0,2870.0,2750.0,2860.0,32008900
2025-12-03,2860.0,2860.0,2880.0,2790.0,2800.0,9410700
2025-12-04,2800.0,2800.0,2890.0,2760.0,2890.0,18783000
2025-12-05,2910.0,2910.0,2970.0,2800.0,2800.0,23143800
2025-12-08,2890.0,2890.0,3000.0,2890.0,2980.0,12113300
2025-12-09,2910.0,2910.0,2950.0,2820.0,2930.0,22008800
2025-12-10,2810.0,2810.0,2910.0,2810.0,2910.0,9523900
2025-12-11,2830.0,2830.0,2870.0,2780.0,2820.0,19538900
2025-12-12,2770.0,2770.0,2890.0,2760.0,2860.0,9709500
2025-12-15,2750.0,2750.0,2830.0,2710.0,2780.0,24488700
2025-12-16,2770.0,2770.0,2830.0,2740.0,2760.0,11910000
2025-12-17,2750.0,2750.0,2810.0,2740.0,2770.0,5614200
2025-12-18,2660.0,2660.0,2730.0,2660.0,2720.0,10418300
2025-12-19,2670.0,2670.0,2740.0,2650.0,2680.0,14677600
2025-12-22,2700.0,2700.0,2710.0,2650.0,2670.0,8001100
2025-12-23,2630.0,2630.0,2710.0,2610.0,2700.0,10578400
2025-12-24,2670.0,2670.0,2710.0,2620.0,2620.0,14999800
