Date,Adj Close_CUAN.JK,Close_CUAN.JK,High_CUAN.JK,Low_CUAN.JK,Open_CUAN.JK,Volume_CUAN.JK
2023-03-08,27.399999618530273,27.399999618530273,27.399999618530273,24.0,27.399999618530273,1063562000
2023-03-09,34.20000076293945,34.20000076293945,34.20000076293945,33.0,34.20000076293945,528003000
2023-03-10,42.599998474121094,42.599998474121094,42.599998474121094,32.0,42.400001525878906,6772109000
2023-03-13,53.0,53.0,53.0,41.20000076293945,44.0,1791283000
2023-03-14,66.0,66.0,66.0,55.0,55.0,3085736000
2023-03-15,82.5,82.5,82.5,70.0,71.0,1579973000
2023-03-16,77.0,77.0,100.0,77.0,82.5,3183218000
2023-03-17,72.0,72.0,75.5,72.0,72.0,423053000
2023-03-20,67.0,67.0,67.0,67.0,67.0,170044000
2023-03-21,76.0,76.0,79.0,62.5,62.5,3310310000
2023-03-24,71.0,71.0,80.5,71.0,78.5,840632000
2023-03-27,71.0,71.0,75.5,66.5,67.0,891215000
2023-03-28,75.5,75.5,78.0,71.5,72.0,1041581000
2023-03-29,73.5,73.5,76.0,71.5,76.0,338113000
2023-03-30,74.0,74.0,78.5,72.0,73.5,542392000
2023-03-31,81.5,81.5,88.0,74.5,74.5,1862118000
2023-04-03,81.0,81.0,85.0,79.0,82.5,569833000
2023-04-04,89.5,89.5,92.0,82.0,84.0,1568691000
2023-04-05,90.0,90.0,94.0,88.5,92.0,651606000
2023-04-06,90.0,90.0,92.5,87.5,91.5,277584000
2023-04-10,87.0,87.0,92.5,86.5,90.5,184360000
2023-04-11,94.5,94.5,95.0,87.0,87.0,738211000
2023-04-12,92.5,92.5,96.0,91.5,94.5,329596000
2023-04-13,90.0,90.0,93.5,88.5,92.5,159841000
2023-04-14,89.0,89.0,92.5,89.0,92.5,122071000
2023-04-17,90.0,90.0,91.0,83.0,89.0,305175000
2023-04-18,95.0,95.0,95.0,87.5,90.0,215273000
