Date,Adj Close_MIKA.JK,Close_MIKA.JK,High_MIKA.JK,Low_MIKA.JK,Open_MIKA.JK,Volume_MIKA.JK
2025-10-13,2510.0,2510.0,2510.0,2450.0,2480.0,3459500
2025-10-14,2520.0,2520.0,2650.0,2510.0,2520.0,11849100
2025-10-15,2430.0,2430.0,2610.0,2430.0,2550.0,10400300
2025-10-16,2600.0,2600.0,2600.0,2480.0,2500.0,3594600
2025-10-17,2670.0,2670.0,2670.0,2520.0,2600.0,5655300
2025-10-20,2590.0,2590.0,2680.0,2560.0,2670.0,2992100
2025-10-21,2550.0,2550.0,2620.0,2530.0,2590.0,6011200
2025-10-22,2470.0,2470.0,2580.0,2460.0,2560.0,5356300
2025-10-23,2560.0,2560.0,2600.0,2490.0,2490.0,5673000
2025-10-24,2560.0,2560.0,2610.0,2520.0,2570.0,4275500
2025-10-27,2530.0,2530.0,2590.0,2510.0,2560.0,3167000
2025-10-28,2660.0,2660.0,2680.0,2560.0,2560.0,11896800
2025-10-29,2630.0,2630.0,2690.0,2590.0,2680.0,6501000
2025-10-30,2650.0,2650.0,2710.0,2620.0,2640.0,4548400
2025-10-31,2580.0,2580.0,2650.0,2480.0,2650.0,11548400
2025-11-03,2620.0,2620.0,2620.0,2520.0,2520.0,3259800
2025-11-04,2640.0,2640.0,2660.0,2580.0,2630.0,4225700
2025-11-05,2590.0,2590.0,2640.0,2550.0,2590.0,7018300
2025-11-06,2590.0,2590.0,2690.0,2570.0,2580.0,5349800
2025-11-07,2640.0,2640.0,2700.0,2630.0,2630.0,4000600
2025-11-10,2500.0,2500.0,2650.0,2500.0,2640.0,5738800
2025-11-11,2590.0,2590.0,2610.0,2530.0,2540.0,7129100
2025-11-12,2520.0,2520.0,2640.0,2510.0,2630.0,5193400
2025-11-13,2590.0,2590.0,2620.0,2550.0,2550.0,5086400
2025-11-14,2520.0,2520.0,2610.0,2520.0,2610.0,3135300
2025-11-17,2550.0,2550.0,2570.0,2520.0,2520.0,2836200
2025-11-18,2530.0,2530.0,2560.0,2520.0,2550.0,2170900
2025-11-19,2560.0,2560.0,2620.0,2520.0,2530.0,4333700
2025-11-20,2550.0,2550.0,2570.0,2530.0,2550.0,3651800
2025-11-21,2500.0,2500.0,2560.0,2470.0,2560.0,3132800
2025-11-24,2430.0,2430.0,2500.0,2420.0,2500.0,4394100
2025-11-25,2490.0,2490.0,2490.0,2430.0,2440.0,2970000
2025-11-26,2550.0,2550.0,2570.0,2490.0,2500.0,5424800
2025-11-27,2500.0,2500.0,2550.0,2480.0,2550.0,3787200
2025-11-28,2480.0,2480.0,2530.0,2450.0,2510.0,2694700
2025-12-01,2510.0,2510.0,2520.0,2480.0,2510.0,2312100
2025-12-02,2550.0,2550.0,2560.0,2500.0,2520.0,3017700
2025-12-03,2550.0,2550.0,2570.0,2480.0,2560.0,4555900
2025-12-04,2490.0,2490.0,2540.0,2480.0,2540.0,3099600
2025-12-05,2520.0,2520.0,2530.0,2500.0,2520.0,2210100
2025-12-08,2530.0,2530.0,2550.0,2510.0,2520.0,2614200
2025-12-09,2500.0,2500.0,2530.0,2450.0,2530.0,4141800
2025-12-10,2470.0,2470.0,2510.0,2460.0,2500.0,2951000
2025-12-11,2450.0,2450.0,2510.0,2420.0,2480.0,3079600
2025-12-12,2500.0,2500.0,2520.0,2460.0,2460.0,2381500
2025-12-15,2490.0,2490.0,2530.0,2480.0,2520.0,1873900
2025-12-16,2450.0,2450.0,2490.0,2430.0,2450.0,2475400
2025-12-17,2430.0,2430.0,2470.0,2420.0,2470.0,2368000
2025-12-18,2450.0,2450.0,2450.0,2410.0,2430.0,2502300
2025-12-19,2380.0,2380.0,2440.0,2380.0,2440.0,5782600
2025-12-22,2440.0,2440.0,2450.0,2390.0,2390.0,3574600
2025-12-23,2420.0,2420.0,2440.0,2390.0,2440.0,2385400
2025-12-24,2450.0,2450.0,2450.0,2400.0,2420.0,2746200
