Date,Adj Close_UNTR.JK,Close_UNTR.JK,High_UNTR.JK,Low_UNTR.JK,Open_UNTR.JK,Volume_UNTR.JK
2025-10-13,26000.0,26000.0,26125.0,25025.0,25025.0,2941600
2025-10-14,25525.0,25525.0,26225.0,25500.0,26200.0,1736200
2025-10-15,25950.0,25950.0,26000.0,25525.0,25875.0,2045800
2025-10-16,25975.0,25975.0,26100.0,25825.0,26000.0,1187600
2025-10-17,26950.0,26950.0,27200.0,25975.0,25975.0,7298900
2025-10-20,26600.0,26600.0,27000.0,26025.0,27000.0,3474200
2025-10-21,26950.0,26950.0,26975.0,26475.0,26800.0,4098600
2025-10-22,26875.0,26875.0,27125.0,26150.0,26475.0,4310200
2025-10-23,27300.0,27300.0,27375.0,26600.0,26600.0,2807400
2025-10-24,27125.0,27125.0,27450.0,27125.0,27300.0,2606300
2025-10-27,27900.0,27900.0,27925.0,27025.0,27025.0,5861000
2025-10-28,27625.0,27625.0,28000.0,27625.0,27975.0,3128400
2025-10-29,27625.0,27625.0,27975.0,27525.0,27625.0,2460300
2025-10-30,27975.0,27975.0,27975.0,27400.0,27600.0,2818600
2025-10-31,26900.0,26900.0,28475.0,26775.0,27975.0,12245200
2025-11-03,27275.0,27275.0,27500.0,26775.0,26775.0,4994700
2025-11-04,27200.0,27200.0,27400.0,26800.0,27250.0,6373900
2025-11-05,27000.0,27000.0,27200.0,26650.0,27200.0,4335300
2025-11-06,27375.0,27375.0,27375.0,26850.0,26900.0,2596200
2025-11-07,27500.0,27500.0,27575.0,27200.0,27375.0,1718000
2025-11-10,27875.0,27875.0,27950.0,27550.0,27700.0,2620400
2025-11-11,27950.0,27950.0,28000.0,27775.0,27975.0,1783100
2025-11-12,28300.0,28300.0,28350.0,27750.0,27875.0,4204400
2025-11-13,28250.0,28250.0,28450.0,28125.0,28300.0,2214000
2025-11-14,28050.0,28050.0,28250.0,27900.0,28250.0,1727200
2025-11-17,28025.0,28025.0,28250.0,27975.0,28000.0,1640800
2025-11-18,27250.0,27250.0,28200.0,27150.0,28025.0,3085600
2025-11-19,27300.0,27300.0,27425.0,27175.0,27250.0,2083900
2025-11-20,27000.0,27000.0,27550.0,27000.0,27350.0,2288100
2025-11-21,27025.0,27025.0,27150.0,26900.0,27000.0,2051500
2025-11-24,27300.0,27300.0,27350.0,26700.0,27000.0,6369800
2025-11-25,27375.0,27375.0,27800.0,27150.0,27800.0,2328200
2025-11-26,27800.0,27800.0,27800.0,27325.0,27450.0,2627300
2025-11-27,28350.0,28350.0,28375.0,27675.0,27900.0,3673200
2025-11-28,28000.0,28000.0,28425.0,28000.0,28350.0,2742600
2025-12-01,27975.0,27975.0,27975.0,27125.0,27125.0,3000800
2025-12-02,28525.0,28525.0,28700.0,27925.0,27925.0,4451300
2025-12-03,28700.0,28700.0,28800.0,28475.0,28475.0,2378800
2025-12-04,30675.0,30675.0,30675.0,28800.0,29000.0,12219400
2025-12-05,30850.0,30850.0,31000.0,30100.0,30825.0,5572500
2025-12-08,29350.0,29350.0,30650.0,29200.0,30650.0,5912500
2025-12-09,29500.0,29500.0,29800.0,28950.0,29500.0,6501700
2025-12-10,30000.0,30000.0,30000.0,29300.0,29725.0,3015900
2025-12-11,29425.0,29425.0,29800.0,29325.0,29800.0,3297600
2025-12-12,28875.0,28875.0,29750.0,28600.0,29750.0,4647700
2025-12-15,28350.0,28350.0,28800.0,28300.0,28800.0,3238700
2025-12-16,28150.0,28150.0,28450.0,28150.0,28350.0,2697300
2025-12-17,28050.0,28050.0,28200.0,27850.0,28150.0,5006500
2025-12-18,28975.0,28975.0,28975.0,28025.0,28050.0,4630000
2025-12-19,29800.0,29800.0,30125.0,28975.0,29325.0,14764500
2025-12-22,29975.0,29975.0,30500.0,29200.0,29425.0,5642100
2025-12-23,29800.0,29800.0,30250.0,29675.0,29850.0,2561000
2025-12-24,29650.0,29650.0,30000.0,29575.0,29575.0,1669600
