Date,Adj Close_PTBA.JK,Close_PTBA.JK,High_PTBA.JK,Low_PTBA.JK,Open_PTBA.JK,Volume_PTBA.JK
2025-10-13,2340.0,2340.0,2350.0,2310.0,2340.0,9587100
2025-10-14,2300.0,2300.0,2360.0,2280.0,2350.0,14060200
2025-10-15,2170.0,2170.0,2310.0,2170.0,2300.0,31527000
2025-10-16,2210.0,2210.0,2250.0,2210.0,2220.0,13972300
2025-10-17,2210.0,2210.0,2220.0,2170.0,2210.0,13410100
2025-10-20,2270.0,2270.0,2270.0,2200.0,2210.0,10329300
2025-10-21,2340.0,2340.0,2340.0,2270.0,2270.0,16072500
2025-10-22,2290.0,2290.0,2360.0,2290.0,2350.0,12005500
2025-10-23,2320.0,2320.0,2330.0,2290.0,2300.0,5932800
2025-10-24,2350.0,2350.0,2380.0,2320.0,2320.0,16373900
2025-10-27,2340.0,2340.0,2370.0,2300.0,2350.0,30696100
2025-10-28,2350.0,2350.0,2360.0,2330.0,2360.0,7232900
2025-10-29,2370.0,2370.0,2380.0,2340.0,2350.0,10528000
2025-10-30,2430.0,2430.0,2440.0,2370.0,2380.0,30872400
2025-10-31,2400.0,2400.0,2440.0,2390.0,2430.0,13522200
2025-11-03,2400.0,2400.0,2410.0,2380.0,2400.0,10144900
2025-11-04,2400.0,2400.0,2400.0,2380.0,2400.0,10187200
2025-11-05,2380.0,2380.0,2400.0,2370.0,2400.0,10530900
2025-11-06,2400.0,2400.0,2400.0,2380.0,2390.0,5407600
2025-11-07,2390.0,2390.0,2390.0,2370.0,2390.0,9184800
2025-11-10,2390.0,2390.0,2400.0,2380.0,2390.0,5360900
2025-11-11,2390.0,2390.0,2400.0,2370.0,2390.0,7638300
2025-11-12,2380.0,2380.0,2390.0,2360.0,2390.0,8223400
2025-11-13,2360.0,2360.0,2390.0,2350.0,2380.0,7304300
2025-11-14,2340.0,2340.0,2360.0,2330.0,2360.0,7367200
2025-11-17,2350.0,2350.0,2370.0,2340.0,2340.0,7490900
2025-11-18,2310.0,2310.0,2350.0,2310.0,2350.0,9919300
2025-11-19,2320.0,2320.0,2330.0,2310.0,2310.0,5694700
2025-11-20,2330.0,2330.0,2340.0,2320.0,2320.0,5732100
2025-11-21,2320.0,2320.0,2330.0,2300.0,2320.0,5794800
2025-11-24,2330.0,2330.0,2330.0,2300.0,2320.0,7934900
2025-11-25,2310.0,2310.0,2340.0,2300.0,2330.0,5470900
2025-11-26,2320.0,2320.0,2330.0,2300.0,2330.0,5543000
2025-11-27,2300.0,2300.0,2330.0,2300.0,2330.0,5256000
2025-11-28,2310.0,2310.0,2310.0,2280.0,2300.0,6650100
2025-12-01,2290.0,2290.0,2310.0,2280.0,2300.0,7593800
2025-12-02,2310.0,2310.0,2310.0,2290.0,2290.0,5398600
2025-12-03,2310.0,2310.0,2310.0,2290.0,2300.0,3128800
2025-12-04,2300.0,2300.0,2320.0,2290.0,2300.0,4369500
2025-12-05,2300.0,2300.0,2310.0,2290.0,2310.0,3949700
2025-12-08,2300.0,2300.0,2310.0,2290.0,2310.0,6949200
2025-12-09,2290.0,2290.0,2300.0,2280.0,2300.0,8121300
2025-12-10,2290.0,2290.0,2300.0,2270.0,2290.0,10110400
2025-12-11,2260.0,2260.0,2290.0,2250.0,2280.0,11068100
2025-12-12,2260.0,2260.0,2280.0,2250.0,2260.0,9574000
2025-12-15,2260.0,2260.0,2280.0,2240.0,2260.0,14821100
2025-12-16,2280.0,2280.0,2280.0,2260.0,2260.0,5695500
2025-12-17,2270.0,2270.0,2290.0,2240.0,2280.0,14496300
2025-12-18,2260.0,2260.0,2300.0,2260.0,2270.0,11761300
2025-12-19,2270.0,2270.0,2290.0,2250.0,2280.0,7515700
2025-12-22,2280.0,2280.0,2280.0,2260.0,2280.0,5773900
2025-12-23,2280.0,2280.0,2280.0,2260.0,2270.0,5748100
2025-12-24,2280.0,2280.0,2290.0,2270.0,2280.0,4387200
